Pick,Interp,Obs,MD,TVD,TVDSS,TWT,X,Y,Quality,Conf,Source,T/D,Created,Remark
STRONSAYÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS FMB GROUPÿ,,2017-06-26 13:17:35ÿ,TGS FMB Groupÿ
HORDAÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS FMB FORMATIÿ,,2017-06-26 13:17:35ÿ,TGS FMB Formationÿ
T14Bÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_4TH_ORDERÿ
T14ÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
Tertiaryÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS FMB SYSTEMÿ,,2017-06-26 16:26:38ÿ,TGS FMB Systemÿ
Eoceneÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS FMB SERIESÿ,,2017-06-26 16:26:38ÿ,TGS FMB Seriesÿ
Priabonianÿ,FMBÿ,1ÿ,7318.78ÿ,7292.46ÿ,-7186.46ÿ,-999.00ÿ,614755.72ÿ,6383529.29ÿ,,,TGS FMB STAGEÿ,,2017-06-26 16:26:38ÿ,TGS FMB Stageÿ
T14Aÿ,FMBÿ,1ÿ,7431.94ÿ,7405.61ÿ,-7299.61ÿ,-999.00ÿ,614755.54ÿ,6383529.64ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_4TH_ORDERÿ
Bartonianÿ,FMBÿ,1ÿ,7431.94ÿ,7405.61ÿ,-7299.61ÿ,-999.00ÿ,614755.54ÿ,6383529.64ÿ,,,TGS FMB STAGEÿ,,2017-06-26 16:26:38ÿ,TGS FMB Stageÿ
T13ÿ,FMBÿ,1ÿ,7512.98ÿ,7486.64ÿ,-7380.64ÿ,-999.00ÿ,614755.41ÿ,6383529.90ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
Lutetianÿ,FMBÿ,1ÿ,7512.98ÿ,7486.64ÿ,-7380.64ÿ,-999.00ÿ,614755.41ÿ,6383529.90ÿ,,,TGS FMB STAGEÿ,,2017-06-26 16:26:38ÿ,TGS FMB Stageÿ
T12ÿ,FMBÿ,1ÿ,7720.26ÿ,7693.91ÿ,-7587.91ÿ,-999.00ÿ,614755.07ÿ,6383530.56ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
T11ÿ,FMBÿ,1ÿ,7842.47ÿ,7816.11ÿ,-7710.11ÿ,-999.00ÿ,614754.83ÿ,6383530.92ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
T10Bÿ,FMBÿ,1ÿ,7875.18ÿ,7848.82ÿ,-7742.82ÿ,-999.00ÿ,614754.76ÿ,6383531.00ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
T10Aÿ,FMBÿ,1ÿ,7988.63ÿ,7962.26ÿ,-7856.26ÿ,-999.00ÿ,614754.53ÿ,6383531.30ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
Ypresianÿ,FMBÿ,1ÿ,7988.63ÿ,7962.26ÿ,-7856.26ÿ,-999.00ÿ,614754.53ÿ,6383531.30ÿ,,,TGS FMB STAGEÿ,,2017-06-26 16:26:38ÿ,TGS FMB Stageÿ
T9ÿ,FMBÿ,1ÿ,8082.46ÿ,8056.09ÿ,-7950.09ÿ,-999.00ÿ,614754.36ÿ,6383531.58ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
T8ÿ,FMBÿ,1ÿ,8176.30ÿ,8149.91ÿ,-8043.91ÿ,-999.00ÿ,614754.19ÿ,6383531.86ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
MORAYÿ,FMBÿ,1ÿ,8272.29ÿ,8245.91ÿ,-8139.91ÿ,-999.00ÿ,614754.03ÿ,6383532.11ÿ,,,TGS FMB GROUPÿ,,2017-06-26 13:17:35ÿ,TGS FMB Groupÿ
BALDERÿ,FMBÿ,1ÿ,8272.29ÿ,8245.91ÿ,-8139.91ÿ,-999.00ÿ,614754.03ÿ,6383532.11ÿ,,,TGS FMB FORMATIÿ,,2017-06-26 13:17:35ÿ,TGS FMB Formationÿ
T7ÿ,FMBÿ,1ÿ,8272.29ÿ,8245.91ÿ,-8139.91ÿ,-999.00ÿ,614754.03ÿ,6383532.11ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
SELEÿ,FMBÿ,1ÿ,8401.59ÿ,8375.20ÿ,-8269.20ÿ,-999.00ÿ,614753.88ÿ,6383532.44ÿ,,,TGS FMB FORMATIÿ,,2017-06-26 13:17:35ÿ,TGS FMB Formationÿ
T6Bÿ,FMBÿ,1ÿ,8411.96ÿ,8385.57ÿ,-8279.57ÿ,-999.00ÿ,614753.86ÿ,6383532.46ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
T6Aÿ,FMBÿ,1ÿ,8787.25ÿ,8760.85ÿ,-8654.85ÿ,-999.00ÿ,614753.45ÿ,6383533.04ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
Paleoceneÿ,FMBÿ,1ÿ,8787.25ÿ,8760.85ÿ,-8654.85ÿ,-999.00ÿ,614753.45ÿ,6383533.04ÿ,,,TGS FMB SERIESÿ,,2017-06-26 16:26:38ÿ,TGS FMB Seriesÿ
Thanetianÿ,FMBÿ,1ÿ,8787.25ÿ,8760.85ÿ,-8654.85ÿ,-999.00ÿ,614753.45ÿ,6383533.04ÿ,,,TGS FMB STAGEÿ,,2017-06-26 16:26:38ÿ,TGS FMB Stageÿ
FORTIES SANDSTONEÿ,FMBÿ,1ÿ,8820.65ÿ,8794.25ÿ,-8688.25ÿ,-999.00ÿ,614753.42ÿ,6383533.06ÿ,,,TGS FMB MEMBERÿ,,2017-06-26 13:17:35ÿ,TGS FMB Memberÿ
T5-T4ÿ,FMBÿ,1ÿ,9075.90ÿ,9049.50ÿ,-8943.50ÿ,-999.00ÿ,614753.10ÿ,6383533.10ÿ,,,TGS_FMB_SEQUENCÿ,,2017-06-26 15:41:07ÿ,TGS_FMB_SEQUENCE_3RD_ORDERÿ
MONTROSEÿ,FMBÿ,1ÿ,9079.25ÿ,9052.84ÿ,-8946.84ÿ,-999.00ÿ,614753.09ÿ,6383533.09ÿ,,,TGS FMB GROUPÿ,,2017-06-26 13:17:35ÿ,TGS FMB Groupÿ
LISTAÿ,FMBÿ,1ÿ,9079.25ÿ,9052.84ÿ,-8946.84ÿ,-999.00ÿ,614753.09ÿ,6383533.09ÿ,,,TGS FMB FORMATIÿ,,2017-06-26 13:17:35ÿ,TGS FMB Formationÿ
MEY SANDSTONEÿ,FMBÿ,1ÿ,9230.82ÿ,9204.40ÿ,-9098.40ÿ,-999.00ÿ,614752.46ÿ,6383532.88ÿ,,,TGS FMB MEMBERÿ,,2017-06-26 13:17:35ÿ,TGS FMB Memberÿ
TDÿ,TDÿ,1ÿ,9635.00ÿ,9608.49ÿ,-9502.49ÿ,-999.00ÿ,614750.44ÿ,6383531.23ÿ,TDÿ,Fÿ,UNKÿ,,2015-10-22 02:52:52ÿ,
